Wallet	Amount
0x1971066fa9419a03a07cca394204915818d6c140	0.009
0x03a62c4b61e7118025b8c253b2e09cf74ca0f31a	0.009
0x764a1c7bfd2a8dba90f41226c54e9bf88c706258	0.009
0xe20ec1721fd0a897592d7630786a4a4c848e96a6	0.009
0xd707e69e6644c2d9709a21acd7b8fbfe5a6de1f6	0.009
0x55f206ccea40fb17134258f11e732f358a10822a	0.00888518
0xcc98745f40c668ccf6bd97a6fd954551bcc1e650	0.00651643
0x50073fbd5814cad94e60e85407dca3695d8d0439	0.005
0x248743463983b3b0c667717bb8c30e5ac79199bb	0.005
0xa73c7171cda453bb44000c80f6a9221718b16211	0.0043
0xa7950e88d0c41c1396fcb84c2d50286194538b8f	0.0037
0x54d920b15a6fc49f7c206df8924d5c192da4228e	0.003
0x43c0d31adb89df0e6b02bf2bd9acb0696fe41e46	0.002
0x9fc9e6fe3567cfe89cf8de12ac051955b8865308	0.0011
0x2499e22e19b0af3c1ab82071db2a9c4fd7ed328d	0.001
0xc7d3ac5ccaa44f3f0652613ab79adca97090e780	0.001
0xc0968d7e104a06357c69e04e260a483b30c29a05	0.001
0xf2919796ac2b7d4c884bec05cebe92a4b6f1e701	0.001
0xd3a15d933bc568ce20e93c617822e2ffb77411ea	0.001
0xb52284ffe2560aae7b4b61a4fd079d9ca8a8aeac	0.001
0x8ee1dfed72c8c401da3525033d471420a1da466b	0.001
0xcf6fd94d077a08f4e800ad01ba4faa01d9c27779	0.00087
0xbcb2797f9a74d9099d6077c743feb3bc812eb2a4	0.00026515
0x3d52571f1ce8f035da1c1ed716f3055790274549	0.0001
0x00e97dc9df137a4065418fe6475f9465b63d9f59	0.0001168
0xf6e5e2344a12e036d3a4fed39c931e3351cb8cee	0.000064624
0xc4724c8546c9c4e26d08182f803e0b51a061357e	0.0779
0xf9ee19fa632d737af5614f646c0ce10ec7694031	0.070326052
0x9a89bcf8960cfa516de8521e62621fc39b3d3a04	1e-18
0x851286854a2c56eb74a082fdad9d3cf87a218df9	0.003231181432096011
0x5e341eec52820ec1c1841f20d9ea67973e8c4ee4	0.0603426
0x8b7af85a82c081ba4ba556e925547325fae43b98	0.002375751
0x6263c353994c14654f2b8d343dc8de2f0eecbea0	0.0045
0xc965c6ef32ccc278181cbc68573fa0a5f1997b17	0.000999999999999999
0xdf86984226814e2970ea94fedd9676276fedfacb	0.21498673
0xd7c33aaff9e1fe4e970aee0bcf999a0f9c528b75	8e-8
